"Author","A_1","A_10","A_11","A_12","A_13","A_14","A_15","A_16","A_17","A_18","A_19","A_2","A_20","A_3","A_4","A_5","A_6","A_7","A_8","A_9","B_1","B_10","B_11","B_12","B_13","B_14","B_15","B_16","B_17","B_18","B_19","B_2","B_20","B_3","B_4","B_5","B_6","B_7","B_8","B_9","C_1","C_10","C_11","C_12","C_13","C_14","C_15","C_16","C_17","C_18","C_19","C_2","C_20","C_3","C_4","C_5","C_6","C_7","C_8","C_9","similarity_heatmap.png","similarity_scores.csv"
"A_1",0,0.431002387383678,0.406638845745463,0.405537684275585,0.387122828352912,0.38809310614611,0.360934751146594,0.393404728199712,0.35469549803067,0.385618866122129,0.426553782772076,0.345767262832315,0.268477991899906,0.320338259616513,0.284448413723687,0.360957382522626,0.382530500966506,0.370233000623825,0.353337653967503,0.385790158110329,1.31380067233848,1.37671531695354,1.3870897547305,1.38307547509009,1.36497778092193,1.39158749377262,1.4079541599527,1.38824871598586,1.39818575974407,1.36452368810413,1.40184254306635,1.35898209253602,1.40177662111658,1.39665391302194,1.34291461118108,1.37366705783366,1.39745443507087,1.36544911710718,1.3561831723614,1.38412477704958,1.21895526932326,1.3059887401831,1.28404615746444,1.29280167668579,1.25040819413089,1.32326929121963,1.29020793492746,1.27110541252604,1.32096043884537,1.29608917725611,1.28018154510783,1.26904140455381,1.32022714499098,1.28161804642017,1.24328345308154,1.29584280928721,1.29434426933935,1.20396142597619,1.29744550684935,1.30008905526618,1.07595762887364,1.06315505576725
"A_10",0.431002387383678,0,0.416786942668375,0.359617038216504,0.360419205643316,0.382101382582941,0.278829525347576,0.418242994332439,0.404523080501746,0.368846904079796,0.480327777343963,0.375368594304826,0.341884056650086,0.384998462738469,0.389340404109283,0.365731075356725,0.346335354845737,0.396182317988498,0.363512651947925,0.424115107828983,1.31015648005416,1.33328584024019,1.35352949065061,1.3360091106072,1.3246823720335,1.36096235596414,1.37999457482698,1.38164196652553,1.35054235362365,1.35553670655329,1.36367122274959,1.34371733740654,1.39681710082254,1.35348722524722,1.31024873710724,1.3623296189857,1.38029712376832,1.3498698551409,1.3184510443196,1.30407456866005,1.29295721716707,1.24305878514161,1.32921783429981,1.29827740725766,1.27836483463249,1.352415673629,1.2776196734179,1.32706131145369,1.28371177022681,1.31786502334786,1.2707425564468,1.29159687864229,1.35118847876435,1.31308665417655,1.20651221188008,1.33217910917092,1.31060846489034,1.3036465931054,1.29245987285628,1.35928661650414,1.01896065060445,1.02079421110523
"A_11",0.406638845745463,0.416786942668375,0,0.419309241515728,0.377469341959666,0.394833205152886,0.349356311035765,0.304100595243901,0.342290132530549,0.370376005746471,0.340717393551423,0.430549213097068,0.288665140771405,0.393031205931249,0.349998527623291,0.414876842877637,0.447970407896155,0.381913544798742,0.297162911361724,0.354450515973978,1.32985288492109,1.37694784667318,1.34179540003826,1.36071309062511,1.34596237155687,1.35804699198473,1.35961034032558,1.36745096293183,1.34520913182123,1.32672343263328,1.35165724553661,1.34766178508844,1.36939958976641,1.36955969137447,1.29006649612731,1.33474810942336,1.35778717144784,1.3514017610712,1.31224963817976,1.32152880418711,1.25001812298257,1.28036233326453,1.34621587805939,1.31063686901831,1.31609720611546,1.35554913703447,1.2905080433872,1.30814524496113,1.3384747078564,1.34125965192164,1.29991137711286,1.32995946220028,1.32218100995569,1.30658831000488,1.28000979990293,1.33711450092553,1.27457492132411,1.316163141057,1.30795383638388,1.32734568508363,1.02477032511175,1.02533878435917
"A_12",0.405537684275585,0.359617038216504,0.419309241515728,0,0.352890365453911,0.399305629126477,0.328124346577777,0.365793094330745,0.353925162385354,0.381860892640189,0.363203703078699,0.413011251670881,0.294856143223095,0.364250100997095,0.376135803498702,0.312448334930106,0.370005265259229,0.409124012350736,0.3866737916273,0.333275972084336,1.3230294814479,1.32408234790359,1.30903546629858,1.34852404502689,1.33441208141313,1.3658384160518,1.37379725211264,1.37809029651414,1.32493410653243,1.36019010721959,1.37603553156239,1.35398984936296,1.40649231191342,1.37406249185815,1.28624065062043,1.31755641517955,1.37721288304185,1.33708585902303,1.35153479893847,1.34664120820258,1.31334553654875,1.26503731695463,1.33324843944226,1.33533529987825,1.28021215694877,1.34940562532429,1.31753944869236,1.32730045679879,1.32298829893406,1.34785969344609,1.30324686619574,1.30424600861903,1.36361159640637,1.30802724892162,1.27326359124402,1.33009072712267,1.32370087836074,1.26736530138696,1.33282798420838,1.33915640393614,1.00463016863861,1.01054252869563
"A_13",0.387122828352912,0.360419205643316,0.377469341959666,0.352890365453911,0,0.371258015742638,0.312606364480979,0.376366098918686,0.377319376199196,0.278741976261552,0.364923488103763,0.392049525262622,0.285231464326784,0.36482605348013,0.355423476289877,0.334905804598665,0.39693270746735,0.41107474426105,0.316706274212743,0.340410492792301,1.33528189685673,1.35902961582494,1.37620758899988,1.36040968974525,1.37590807743476,1.38510483198028,1.40765905618693,1.38597026880763,1.3666273977564,1.35961348404066,1.38396694066612,1.38473650534148,1.40057124261847,1.40706003857892,1.31366769846174,1.35284084589178,1.37664629225841,1.38311051939686,1.34647114632394,1.38715911097172,1.33197781898384,1.31363957504005,1.31911843228434,1.28715858810125,1.27990736314804,1.33651643721198,1.30316969528227,1.28470891201534,1.28987291956698,1.30698386779817,1.3007578545565,1.31655862527666,1.34167307234519,1.29565479141582,1.28087059741109,1.31938463672707,1.31287812581866,1.2624286302868,1.29064980096571,1.30936545835841,1.01440831347339,1.01769392509058
"A_14",0.38809310614611,0.382101382582941,0.394833205152886,0.399305629126477,0.371258015742638,0,0.342738686253731,0.316134860939123,0.350631192323844,0.374632145918601,0.424525087345096,0.478961903364275,0.305084223017345,0.379782528360356,0.364470564651233,0.407163417081837,0.409046934035182,0.404701747732753,0.375880481078854,0.369200448791319,1.30195026043623,1.3447586969945,1.33766131325179,1.35591414284323,1.3025238433479,1.33856286852428,1.34635383433329,1.35891949870004,1.36516681540534,1.27635160515222,1.33960557158882,1.34404423783897,1.36139560668255,1.33746420045175,1.36048192074669,1.33882367118414,1.38194145285796,1.35566099968601,1.32860938400704,1.34634174670153,1.31756966461236,1.31369433608321,1.29871209788032,1.30226536886721,1.29229490224142,1.33979100145718,1.32719387475345,1.18043115657386,1.33405236504375,1.33643863906296,1.32465902389534,1.30689057022542,1.33342052081641,1.26532506580534,1.25534547585641,1.31927559796059,1.33425428618794,1.30626059321567,1.32836958070365,1.3008918388329,1.04662240425098,1.04176439056444
"A_15",0.360934751146594,0.278829525347576,0.349356311035765,0.328124346577777,0.312606364480979,0.342738686253731,0,0.326172686433737,0.323087487748337,0.291424361943308,0.348465736094099,0.416492509772728,0.295297884887058,0.378832427536944,0.361510366254044,0.269369692277863,0.341640750698151,0.341893999544257,0.355154461504959,0.333200979840853,1.35493613721133,1.39379980261855,1.39172164217323,1.35840144156405,1.32050580098574,1.37560998550315,1.40411193370548,1.40172529056745,1.37255520134174,1.37803693011025,1.40348773738038,1.38084214894303,1.40976182998912,1.39901548386609,1.3280594191106,1.39358304508901,1.40557839132372,1.38637245326642,1.36533196174087,1.3536259787346,1.33478133982624,1.31688186749488,1.34704401796672,1.30463148584376,1.29404396890606,1.34121986091982,1.32679053502133,1.29630746311709,1.3098637188365,1.36372698597562,1.28757561661355,1.32569011871757,1.37960680431379,1.32331359740718,1.27442983548401,1.30315181483907,1.31389594383879,1.27249562454638,1.31821837227544,1.31780189511073,1.01475473232085,1.01793792604898
"A_16",0.393404728199712,0.418242994332439,0.304100595243901,0.365793094330745,0.376366098918686,0.316134860939123,0.326172686433737,0,0.34185898433796,0.298554835442461,0.364179974502913,0.452890129843259,0.250135564729299,0.338574687214157,0.34559265506137,0.370560343229381,0.415317358444289,0.302629276553609,0.358444860859065,0.327282289811241,1.34939882262821,1.40595655189528,1.34435496616684,1.35118586471582,1.33608202719614,1.37552367743951,1.3746913247847,1.3610434156467,1.35119798483526,1.34515176114,1.37763552754507,1.34347735901861,1.3651888734908,1.38054309491894,1.33223039506412,1.35661970997144,1.41257198396663,1.38550166821073,1.32932554478144,1.37933598482302,1.31650339813597,1.28685860181758,1.33440285959926,1.29971030055836,1.29642977769127,1.29936146956968,1.34416181399773,1.26256137297337,1.34608018379871,1.36659972182246,1.26982592569983,1.30073637546838,1.3204852952015,1.30641705175046,1.26663008237624,1.33366618914417,1.34251220795588,1.33784837110791,1.32245114846034,1.33988631752201,1.03382185987553,1.03244115090398
"A_17",0.35469549803067,0.404523080501746,0.342290132530549,0.353925162385354,0.377319376199196,0.350631192323844,0.323087487748337,0.34185898433796,0,0.360366914133796,0.319399003419962,0.434332844438995,0.287938792333141,0.369261193296816,0.368246089968182,0.34595888193801,0.375966811098505,0.378868302371077,0.314802707730275,0.321705503340858,1.34155634586186,1.36687707923666,1.34168574834877,1.37066027846666,1.35401090227495,1.3445582434957,1.38096918363863,1.36488957409502,1.3318461409462,1.37467477241693,1.37249951816779,1.36982269126858,1.38412835467009,1.40600327156654,1.33849115912037,1.34993342684994,1.35724329559758,1.36234469555158,1.33588037771219,1.38093464861394,1.31975695090063,1.31264488766055,1.3499410994261,1.31082197607825,1.2976308658586,1.35321285460847,1.24981328337427,1.28901104582664,1.33245350746356,1.3286253049554,1.32864283750426,1.34352238645233,1.33163399131355,1.27266833756114,1.26659807860703,1.33330169081645,1.34871716555852,1.30918286208561,1.3242432206691,1.32580647338337,1.00516320720291,1.01098001796106
"A_18",0.385618866122129,0.368846904079796,0.370376005746471,0.381860892640189,0.278741976261552,0.374632145918601,0.291424361943308,0.298554835442461,0.360366914133796,0,0.393889004181393,0.406814548944222,0.294844126648934,0.400474361179412,0.370556335753386,0.310168328212979,0.418773909742981,0.296062970718956,0.376261422720924,0.347639503160842,1.32314652438088,1.3761983354342,1.38024674800891,1.33687903184991,1.34122892593974,1.36329465775463,1.37522464550522,1.38558171378519,1.347469696041,1.36685106965397,1.39802290491616,1.3792372464714,1.3259862620442,1.36195569446968,1.35465457145638,1.37529146288385,1.38814952577698,1.35005051717209,1.33298604985676,1.34115884070571,1.33437814865472,1.29899235025567,1.32357083415533,1.31035183985702,1.25361291521849,1.34331545433226,1.32125099892216,1.34179795745648,1.32446433365063,1.35906928557962,1.2771203102438,1.34372796249953,1.34340182092919,1.28087557338567,1.26815041170747,1.31027605260327,1.30757062413234,1.31827975591434,1.28950212744279,1.32998143160047,1.04475796815753,1.0406386874855
"A_19",0.426553782772076,0.480327777343963,0.340717393551423,0.363203703078699,0.364923488103763,0.424525087345096,0.348465736094099,0.364179974502913,0.319399003419962,0.393889004181393,0,0.463407871341505,0.326940757883025,0.455297394913907,0.402313421451189,0.402211036576221,0.384053749905394,0.391435640061097,0.399247594072615,0.357845636345407,1.27768403199155,1.37521419048485,1.31701090105337,1.35781291417572,1.26728797796157,1.36591197220992,1.34049047824674,1.32871567829378,1.34413991918212,1.34405102647777,1.32099806246789,1.35015131063934,1.36461422046919,1.37356395885307,1.27986475789493,1.3360843137286,1.35840095287255,1.26563196186431,1.31665073478694,1.32924769014197,1.2905671257915,1.33525612755259,1.31525282902205,1.29359677595661,1.27347134372079,1.33823464581904,1.31570428054202,1.30931996366271,1.33429079131864,1.26368698895264,1.30480424490846,1.34742433438397,1.3209093852069,1.30677082827358,1.27576364099743,1.32964564154969,1.33153158850375,1.28245051979644,1.32846488330486,1.33606496838662,1.02767055120023,1.02722074501691
"A_2",0.345767262832315,0.375368594304826,0.430549213097068,0.413011251670881,0.392049525262622,0.478961903364275,0.416492509772728,0.452890129843259,0.434332844438995,0.406814548944222,0.463407871341505,0,0.317900714752681,0.406302685749663,0.404285003793875,0.424770257452324,0.383433656174713,0.440433273758352,0.342914256902744,0.375116777658042,1.31071519042534,1.35456762708016,1.34741436472776,1.33647432294204,1.3265925600922,1.3509570459927,1.3659430022583,1.34448594048178,1.35546488338315,1.33938712458225,1.36760649824707,1.33008108520909,1.38166338948803,1.3664706581047,1.30922716149861,1.34937633793115,1.35307019471788,1.34809344128776,1.33646508140966,1.3329432819494,1.25766717956097,1.16716772293869,1.3343906708628,1.3303586842572,1.22866298650676,1.34133418866928,1.29707289662378,1.32132338265179,1.3239056916273,1.32728312732249,1.22163290439574,1.28713690863866,1.34963676374199,1.22290893049981,1.19326705194848,1.29452965852976,1.25290671654433,1.27204110438904,1.30723607130866,1.31769240486575,1.05092833809187,1.04404317324363
"A_20",0.268477991899906,0.341884056650086,0.288665140771405,0.294856143223095,0.285231464326784,0.305084223017345,0.295297884887058,0.250135564729299,0.287938792333141,0.294844126648934,0.326940757883025,0.317900714752681,0,0.274661841681892,0.244657790150412,0.268375833777217,0.310187583174708,0.232767092696066,0.208567901994875,0.299071290103703,1.34436467509254,1.41428444711052,1.36053366343335,1.37828351396261,1.3717404031173,1.41252647254903,1.40286478973902,1.41362340211843,1.40340925095724,1.38315949607001,1.41148831669964,1.32982217736714,1.42979943056372,1.40380425731998,1.34184601993757,1.36545505961626,1.4227840432603,1.39828965956044,1.36742720266356,1.38304258361695,1.33667562527569,1.35839666882735,1.37642904171401,1.35303876445847,1.32500200637653,1.35745959117458,1.34599216320365,1.34417703515814,1.37046790463077,1.36934874803226,1.35325007577138,1.36986704265368,1.3802781149095,1.31653209449273,1.28655637019358,1.3627840309148,1.371995542093,1.34434051562524,1.35922451075443,1.36403261423299,1.11585870467605,1.09125200866736
"A_3",0.320338259616513,0.384998462738469,0.393031205931249,0.364250100997095,0.36482605348013,0.379782528360356,0.378832427536944,0.338574687214157,0.369261193296816,0.400474361179412,0.455297394913907,0.406302685749663,0.274661841681892,0,0.255331880245084,0.344915557102395,0.371928795197778,0.379234058669319,0.344258398150936,0.352947842162122,1.27503621179685,1.39467492043064,1.37853906035668,1.34877327394314,1.3585798468953,1.36811656317711,1.36980619598394,1.38245594241762,1.39546080105368,1.37203074117302,1.39898734948671,1.34362033989625,1.41644756225553,1.39198207809491,1.32628078221444,1.35008885978631,1.36485433039112,1.38124786521822,1.36528292296849,1.34409034471148,1.30270387825289,1.29559849128082,1.34745118077502,1.30572676815574,1.28747285545299,1.3547242736242,1.2944564446699,1.29874093318787,1.28943642805652,1.34141927564207,1.31309305346883,1.3103224289015,1.34776381330256,1.22231216303429,1.22068109210872,1.30283951341461,1.30176961398408,1.27875690999572,1.31475411397805,1.32122071208297,1.04286247200977,1.03846359771762
"A_4",0.284448413723687,0.389340404109283,0.349998527623291,0.376135803498702,0.355423476289877,0.364470564651233,0.361510366254044,0.34559265506137,0.368246089968182,0.370556335753386,0.402313421451189,0.404285003793875,0.244657790150412,0.255331880245084,0,0.327625908624772,0.345308081300916,0.340609064314604,0.298358199937429,0.370220660508612,1.32355888751442,1.40564754403907,1.3728342278345,1.37109831565984,1.38165458557014,1.40449287180199,1.42126049351328,1.37722753844419,1.41001515977224,1.37439679800403,1.39452536267342,1.29651527220243,1.43135030708672,1.41123297036036,1.26344330701593,1.36271653492996,1.3897923619515,1.31864885100622,1.33895374514764,1.38018482398599,1.30610673508874,1.29497438488425,1.35108900717139,1.31109036598661,1.29618158936331,1.3499698420485,1.30865586553809,1.33111336256729,1.31396140458542,1.33695801943826,1.32286242484878,1.32710445775239,1.36039635031867,1.25020512191616,1.24267004904738,1.33070945650317,1.34082930855919,1.28104668209225,1.31580111812707,1.33130508304254,1.03318366112061,1.03138220584755
"A_5",0.360957382522626,0.365731075356725,0.414876842877637,0.312448334930106,0.334905804598665,0.407163417081837,0.269369692277863,0.370560343229381,0.34595888193801,0.310168328212979,0.402211036576221,0.424770257452324,0.268375833777217,0.344915557102395,0.327625908624772,0,0.365896220183826,0.386535667605366,0.341971618689177,0.371381177122536,1.32681092120501,1.32892531297841,1.33410652555506,1.33821666364143,1.31314445100136,1.38175293046185,1.40249735942855,1.37764542676115,1.39058862714717,1.37139197545257,1.39610236356543,1.36922861845059,1.40336269875155,1.37551488365858,1.35888926381222,1.36247468501398,1.40285994170392,1.34376805033254,1.36233750727118,1.34009121946624,1.28445511501698,1.32435384371589,1.35165574981035,1.31177533897858,1.28492320150713,1.33233812902529,1.31352211103864,1.33442244548546,1.31916449984012,1.337084977024,1.31361113630278,1.33621183993448,1.3533628165913,1.29862994545437,1.23765736183905,1.33322831134068,1.30131280148125,1.22775324707598,1.32209886393268,1.3343198001335,1.03693717031495,1.03420158330498
"A_6",0.382530500966506,0.346335354845737,0.447970407896155,0.370005265259229,0.39693270746735,0.409046934035182,0.341640750698151,0.415317358444289,0.375966811098505,0.418773909742981,0.384053749905394,0.383433656174713,0.310187583174708,0.371928795197778,0.345308081300916,0.365896220183826,0,0.364510621831743,0.389229163492283,0.331264613776967,1.32030554053681,1.30940242353611,1.33556424961135,1.33294122359631,1.34347682947851,1.36057470369138,1.39090991290467,1.35084810171816,1.38566437060135,1.3453047205463,1.3647174040266,1.34240415492823,1.39187519352545,1.33531173885068,1.2561713505728,1.35731594979526,1.366961699354,1.28084111033531,1.3596194261832,1.32460914228087,1.29293855055958,1.34016896929592,1.32476447397735,1.34592545403151,1.27195180267041,1.3289656065996,1.30796175579196,1.32473919983688,1.34248187534614,1.31648175773168,1.29808188684339,1.32811359289376,1.35175526069211,1.29597797425669,1.20380250557544,1.2694943081846,1.342656539048,1.28059016680412,1.34206519987304,1.35881665411203,1.04164287164352,1.03734718091303
"A_7",0.370233000623825,0.396182317988498,0.381913544798742,0.409124012350736,0.41107474426105,0.404701747732753,0.341893999544257,0.302629276553609,0.378868302371077,0.296062970718956,0.391435640061097,0.440433273758352,0.232767092696066,0.379234058669319,0.340609064314604,0.386535667605366,0.364510621831743,0,0.372311107335722,0.309261289435667,1.34710334464186,1.37386024821737,1.33083777146773,1.35503322649446,1.34530844591308,1.35549237902207,1.36075006582467,1.37729968445036,1.37453461453671,1.35943551478671,1.37167047226004,1.31388673461774,1.32800816546029,1.38941096148359,1.29001749262224,1.35134895112267,1.37080444646359,1.34798521217228,1.32905273319092,1.31231009779817,1.33262236479501,1.31956165979918,1.32318682714373,1.3004155138717,1.22522690178195,1.3389062776312,1.33250851555391,1.32143533384223,1.36146192411133,1.33161628919415,1.30800402597265,1.35760150364507,1.34583184192953,1.28329012778383,1.25912058693511,1.31533202965733,1.34938586023324,1.27181421916006,1.34027767503056,1.33769642215541,1.03868516106264,1.03540045556576
"A_8",0.353337653967503,0.363512651947925,0.297162911361724,0.3866737916273,0.316706274212743,0.375880481078854,0.355154461504959,0.358444860859065,0.314802707730275,0.376261422720924,0.399247594072615,0.342914256902744,0.208567901994875,0.344258398150936,0.298358199937429,0.341971618689177,0.389229163492283,0.372311107335722,0,0.341725108255249,1.35571157204376,1.4024494803826,1.36080810112845,1.38877242256918,1.38052602839533,1.39538880023428,1.39465749240764,1.35434133811649,1.39460286406687,1.36738663635628,1.38370717583653,1.35477126311724,1.39001593411793,1.37283495783212,1.34193254658508,1.38452280229665,1.35030728708976,1.34904274811524,1.36192929069528,1.38922539113217,1.33496691727258,1.25877616189709,1.33437224325329,1.3014755800049,1.30303721874532,1.38274416849901,1.28150565465194,1.29070159130834,1.32664265679243,1.36131182150155,1.32249319173461,1.32112216949089,1.34828611503618,1.31844373669461,1.26013176399705,1.27527253994429,1.35454551764888,1.32802541152808,1.29567219412155,1.31077940623653,0.996570933686598,1.00469890100227
"A_9",0.385790158110329,0.424115107828983,0.354450515973978,0.333275972084336,0.340410492792301,0.369200448791319,0.333200979840853,0.327282289811241,0.321705503340858,0.347639503160842,0.357845636345407,0.375116777658042,0.299071290103703,0.352947842162122,0.370220660508612,0.371381177122536,0.331264613776967,0.309261289435667,0.341725108255249,0,1.36209121354054,1.41051171234669,1.3510941457166,1.38761801263042,1.36676860636143,1.39822910459434,1.40577993275771,1.38027099100277,1.38059984734208,1.36741753803401,1.3978136028556,1.39350591216743,1.40844245155616,1.41361442986764,1.34673506989462,1.39727696700804,1.39447224783056,1.39222079559447,1.3386246043623,1.38711581870763,1.28462283064932,1.27549443265793,1.30453590393616,1.28111707585959,1.29972073895474,1.35818412358788,1.27205568435788,1.29668953526823,1.35024959480744,1.33614985902612,1.25228494694339,1.26673621830621,1.33563408075014,1.24792667091796,1.26053864146308,1.29597965745555,1.34227210086685,1.2856734101277,1.3287533544082,1.27830950354382,1.01906556762806,1.02114271539837
